GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-10-11,41900406,Final,1610612748,1610612747,2019,1610612748,93.0,443,591,357,25.0,41.0,1610612747,106.0,483,643,314,23.0,46.0,0
2020-10-09,41900405,Final,1610612747,1610612748,2019,1610612747,108.0,463,857,368,21.0,41.0,1610612748,111.0,458,955,424,26.0,35.0,0
2020-10-06,41900404,Final,1610612748,1610612747,2019,1610612748,96.0,0.4270000000000001,0.8079999999999999,344,18.0,39.0,1610612747,102.0,443,857,359,25.0,42.0,0
2020-10-04,41900403,Final,1610612748,1610612747,2019,1610612748,115.0,513,913,353,25.0,37.0,1610612747,104.0,0.43,759,333,23.0,43.0,1
2020-10-02,41900402,Final,1610612747,1610612748,2019,1610612747,124.0,505,588,0.34,32.0,44.0,1610612748,114.0,507,912,407,29.0,37.0,1
2020-09-30,41900401,Final,1610612747,1610612748,2019,1610612747,116.0,452,926,395,26.0,54.0,1610612748,98.0,0.4270000000000001,0.7859999999999999,314,23.0,36.0,1
2020-09-27,41900306,Final,1610612748,1610612738,2019,1610612748,125.0,563,846,481,30.0,40.0,1610612738,113.0,434,0.8,326,26.0,42.0,1
2020-09-26,41900315,Final,1610612747,1610612743,2019,1610612747,117.0,545,828,375,24.0,43.0,1610612743,107.0,422,885,267,23.0,36.0,1
2020-09-25,41900305,Final,1610612738,1610612748,2019,1610612738,121.0,452,862,316,29.0,50.0,1610612748,108.0,453,0.7929999999999999,194,27.0,38.0,1
2020-09-24,41900314,Final,1610612743,1610612747,2019,1610612743,108.0,506,0.87,357,22.0,33.0,1610612747,114.0,475,0.8,333,23.0,41.0,0
2020-09-23,41900304,Final,1610612748,1610612738,2019,1610612748,112.0,429,889,0.27,20.0,40.0,1610612738,109.0,476,0.81,0.35,28.0,46.0,1
2020-09-22,41900313,Final,1610612743,1610612747,2019,1610612743,114.0,0.5479999999999999,0.7929999999999999,379,26.0,44.0,1610612747,106.0,518,636,231,27.0,25.0,1
2020-09-20,41900312,Final,1610612747,1610612743,2019,1610612747,105.0,446,947,361,23.0,44.0,1610612743,103.0,473,758,333,22.0,31.0,1
2020-09-19,41900303,Final,1610612748,1610612738,2019,1610612748,106.0,388,0.8240000000000001,273,21.0,42.0,1610612738,117.0,482,867,346,27.0,50.0,0
2020-09-18,41900311,Final,1610612747,1610612743,2019,1610612747,126.0,0.53,0.73,423,33.0,34.0,1610612743,114.0,494,821,346,23.0,37.0,1
2020-09-17,41900302,Final,1610612738,1610612748,2019,1610612738,101.0,0.5,792,357,19.0,41.0,1610612748,106.0,444,857,326,27.0,38.0,0
2020-09-15,41900301,Final,1610612738,1610612748,2019,1610612738,114.0,443,913,357,24.0,37.0,1610612748,117.0,471,0.75,444,32.0,41.0,0
2020-09-15,41900237,Final,1610612746,1610612743,2019,1610612746,89.0,378,0.75,257,21.0,37.0,1610612743,104.0,494,938,351,22.0,53.0,0
2020-09-13,41900236,Final,1610612743,1610612746,2019,1610612743,111.0,541,0.7040000000000001,0.48,26.0,41.0,1610612746,98.0,0.41,889,0.37,20.0,37.0,1
2020-09-12,41900225,Final,1610612747,1610612745,2019,1610612747,119.0,527,759,514,25.0,50.0,1610612745,96.0,371,708,265,18.0,31.0,1
2020-09-11,41900235,Final,1610612746,1610612743,2019,1610612746,105.0,0.42,882,381,22.0,41.0,1610612743,111.0,481,0.84,444,20.0,44.0,0
2020-09-11,41900217,Final,1610612761,1610612738,2019,1610612761,87.0,413,895,286,17.0,44.0,1610612738,92.0,407,565,237,19.0,44.0,0
2020-09-10,41900224,Final,1610612745,1610612747,2019,1610612745,100.0,431,769,424,24.0,26.0,1610612747,110.0,489,938,0.3,30.0,52.0,0
2020-09-09,41900216,Final,1610612738,1610612761,2019,1610612738,122.0,0.44,833,413,32.0,58.0,1610612761,125.0,436,0.72,404,22.0,46.0,0
2020-09-09,41900234,Final,1610612743,1610612746,2019,1610612743,85.0,397,846,333,19.0,38.0,1610612746,96.0,418,733,286,19.0,41.0,0
2020-09-08,41900205,Final,1610612749,1610612748,2019,1610612749,94.0,363,731,273,20.0,41.0,1610612748,103.0,479,917,355,21.0,48.0,0
